name,address,phone,website,operator,operator_type,board,levels,gender,religion,language,lat,lon,osm_url,Name,Address,Fee Structure,Basic Infomation,Contact Details,FAQ,Admission Details,Other Key Infomation,School Infrastructure Details,Co-Curricular Activities,Travel Infomation,Review,Summary
A. G. Teachers High School,,,,,,,,,,,23.0403655,72.5484846,https://www.openstreetmap.org/node/429790293,A. G. Teachers High School,,,,,,,https://www.openstreetmap.org/node/429790293,,,"23.0403655, 72.5484846",,
Ahmedabad Management Association,,,https://www.amaindia.org/,,,,,,,,23.0299192,72.5419468,https://www.openstreetmap.org/way/335567839,Ahmedabad Management Association,,Subscribe to our Newsletter Other Information Blog Careers Downloads / Archives AMA Privacy Policy Terms and Conditions Shipping Charges and Policy Refund Policy PoSH IC Committee Feedback Media Coverage Contact © 2025. Ahmedabad Management Association. All Rights Reserved. Powered by HADNow.com Whatsapp Instagram Facebook-f Linkedin-in X-twitter Youtube Spotify Soundcloud Home Programmes Search Cart To Top Connect with us! --> send × X Question/Title: Email: Select a Category: Select a Category Answer/Details:,,website: https://www.amaindia.org/,,,https://www.openstreetmap.org/way/335567839,standing Manager of the Year Award AMA-Zydus Cadila Marketing Man of the Year Award Anubhai Chimanlal-AMA Nagarikta Puraskar B.H. Jajoo-AMA IT Outstanding Entrepreneur of the Year Facilities Facilities H T Parekh Hall J. B. Auditorium Seminar / Conference Room Zen-Kaizen at AMA AMA-Japan Centre GOG-AMA Centre of International Trade Library About AMA Library Library Access Library Catalogue Library Policy Contact Us Diploma Programmes POST GRADUATE DIPLOMA PROGRAMMES California State University – AMA Collaborative Programmes PG Diploma in Banking PG Diploma Program in Digital Marketing California State University – AMA Coll,"member of All India Management Association, the apex body for management profession in India, and has been collaborating and participating in all its educational and professional activities offered throughout the country. Scan QR for Social Media Links ISO 9001:2015 CERTIFICATION Contact Info OFFICE TIMING: 9:30 to 7 pm - Monday to Saturday (Except Weekend and Holidays) PHONE: 079 – 26308601-2-3-4-5 MOBILE: General Inquiry: 7203030990 Diploma Related: 9537407187 EMAIL: ama@amaindia.org Subscribe to our Newsletter Other Information Blog Careers Downloads / Archives AMA Privacy Policy Terms and Conditions Shipping Charges a","23.0299192, 72.5419468",,has fee structure | has school infrastructure details | has co-curricular activities
Ahmedabad Textile Industry's Research Association,Dr. Vikram Sarabhai Road,,https://atira.in/,,,,,,,,23.0319195,72.5418007,https://www.openstreetmap.org/way/1192740604,Ahmedabad Textile Industry's Research Association,Dr. Vikram Sarabhai Road,,,website: https://atira.in/,,"harat - The National Summit on Technical Textiles | 22-23 Aug, Patna, Bihar NEW CINCE 2025 – The 4th Edition of the Composites India Conclave & Exhibition now open for participant registration and exhibitor bookings NEW Composites 360° successfully concluded NEW ATIRA supports Eat Right India programme to promote healthier living NEW Joint Secretary and Dy. Director General, ICCR, Smt. Manisha Swami visits ATIRA NEW The Southern Gujarat Chamber of Commerce and Industry (SGCCI) team visits ATIRA NEW Empowering Professionals with Soft Skills that make a difference! NEW Successful completion of our 3-day master workshop – “Be",https://www.openstreetmap.org/way/1192740604,"To Service the textile industry efficiently and to provide innovative and sustainable solutions that enables betterment of industry, economy and society What We Are Doing Testing laboratories Textile testing solutions: NABL accredited laboratories that Spans a wide spectrum, backed up by sophisticated infrastructure and specialist staff, ensuring authenticity, accuracy and confidentiality. READ MORE Composites CoE Composites was created in ATIRA by Ministry of Textiles, GOI under TMTT scheme in 2011. Its mandate is to address these challenges and help industry specially the end user industry to adopt light weight concept",) --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> --> Home About ATIRA Organisation Activities at ATIRA Events Awards and Accolades R & D Research & Development Activities Center of Excellence Centre of Excellence (CoE) – Composites Geotextiles Nano Textiles Patents Testing Textile Testing Fibre Tests Yarn Tests Fabric & Garment Testing Functional Textile Protective Textile Testing Geosynthetics Non-Wovens Analysis of Solid Fuel Chemical Analysis (ECO Lab) Composite Testing Mechanical Testing Heat & Flame Testing Services Calibr,"23.0319195, 72.5418007",,has admission details | has school infrastructure details | has co-curricular activities
Amrita Vidyalayam,"Janta Nagar Road, Ahmedabad, 380061",,https://www.amritavidyalayam.co.in/,Mata Amritanandmay Math,ngo,,"Pre-school, 1-12",,,,23.0675829,72.5371239,https://www.openstreetmap.org/node/5197433539,Amrita Vidyalayam,"Janta Nagar Road, Ahmedabad, 380061","@amritavidyalayam.co.in --> Home About Us A Brief Overview Infrastructure About Amritapuri CBSE CBSE Affiliation Mandatory Public Disclosure Video Gallery Updates Get TC Academics Fee Structure Book List Staff Details Holiday List School Timings Contact Us Reach Us Careers Alumni Edunext ERP TM Login Edunext ERP TM Login App User Manual Admission Enquiry Pre-KG Registration form 2025-26 --> About Amrita Vidyalayam, Ahmedabad The Amrita Vidyalayam at Ahmedabad was established on 5th March 2003 under the auspicious blessings of Amma. Located just 1 km from Pavapuri bus station, Near Revamani Hall along Ghatlodia - Janata Nag","operator=Mata Amritanandmay Math; operator_type=ngo; levels=Pre-school, 1-12",website: https://www.amritavidyalayam.co.in/,,"tes Get TC Academics Fee Structure Book List Staff Details Holiday List School Timings Contact Us Reach Us Careers Alumni Edunext ERP TM Login Edunext ERP TM Login App User Manual Admission Enquiry Pre-KG Registration form 2025-26 --> About Amrita Vidyalayam, Ahmedabad The Amrita Vidyalayam at Ahmedabad was established on 5th March 2003 under the auspicious blessings of Amma. Located just 1 km from Pavapuri bus station, Near Revamani Hall along Ghatlodia - Janata Nagar Road, in Ahmedabad, Gujarat. Amrita Vidyalayams are a chain of value based schools which are managed by Mata Amritanandamayi Math. Many years ago, as Amma p",https://www.openstreetmap.org/node/5197433539,"Best School in Ahmedabad, Top School in Ahmedabad - Amrita Vidyalayam Ahmedabad 079-27452009, 27494563 info@amritavidyalayam.co.in --> Home About Us A Brief Overview Infrastructure About Amritapuri CBSE CBSE Affiliation Mandatory Public Disclosure Video Gallery Updates Get TC Academics Fee Structure Book List Staff Details Holiday List School Timings Contact Us Reach Us Careers Alumni Edunext ERP TM Login Edunext ERP TM Login App User Manual Admission Enquiry Pre-KG Registration form 2025-26 --> About Amrita Vidyalayam, Ahmedabad The Amrita Vidyalayam at Ahmedabad was established on 5th March 2003 under the a","under the aegis of UNESCO and other organizations at Tokyo - Japan. 01 Value Education, based on the developmental levels of children, has to be connected to all the subjects and activities conducted in school. 02 In addition to education for knowing and education for doing, children should receive education for becoming. Our Mission Our mission is to provide value-based education and mold the character of the younger generation through a system of wholesome learning, so that the earnest endeavor to achieve progress and prosperity in life is matched by an ardent desire to extend selfless service to society, one complement","23.0675829, 72.5371239",,has admission details | has fee structure | has school infrastructure details | has co-curricular activities
Amrut Jyoti School,,,,,,,,,,,23.018851,72.5653353,https://www.openstreetmap.org/way/327581426,Amrut Jyoti School,,,,,,,https://www.openstreetmap.org/way/327581426,,,"23.018851, 72.5653353",,
Anand Niketan,,,,,,,,,,,23.0218368,72.5072725,https://www.openstreetmap.org/way/446611640,Anand Niketan,,,,,,,https://www.openstreetmap.org/way/446611640,,,"23.0218368, 72.5072725",,
Anand Niketan School Sarkhej,,,,,,,,,,,22.9892365,72.4823886,https://www.openstreetmap.org/node/12771465191,Anand Niketan School Sarkhej,,,,,,,https://www.openstreetmap.org/node/12771465191,,,"22.9892365, 72.4823886",,
"Anand Niketan School, Shilaj",,,,Anand Niketan School Trust,,,,,,,23.0498246,72.4831793,https://www.openstreetmap.org/way/317797832,"Anand Niketan School, Shilaj",,,operator=Anand Niketan School Trust,,,,https://www.openstreetmap.org/way/317797832,,,"23.0498246, 72.4831793",,
Apple Global School,382210,+917573001638,https://appleglobal.in/,,,,,,,,22.9889258,72.4178879,https://www.openstreetmap.org/way/1032926399,Apple Global School,382210,,,phone: +917573001638 | website: https://appleglobal.in/,,,https://www.openstreetmap.org/way/1032926399,,,"22.9889258, 72.4178879",,
Assembly Area,,,,,,,,,,,23.1012731,72.5822847,https://www.openstreetmap.org/way/1180013606,Assembly Area,,,,,,,https://www.openstreetmap.org/way/1180013606,,,"23.1012731, 72.5822847",,
