name,address,phone,website,operator,operator_type,board,levels,gender,religion,language,lat,lon,osm_url,Name,Address,Fee Structure,Basic Infomation,Contact Details,FAQ,Admission Details,Other Key Infomation,School Infrastructure Details,Co-Curricular Activities,Travel Infomation,Review,Summary
"A E T School Sree Annapoornesh, Kothanur",,,,Private Un-Aided,,,2,,,,12.8755011,77.5806222,https://www.openstreetmap.org/node/6536381254,"A E T School Sree Annapoornesh, Kothanur",,,operator=Private Un-Aided; levels=2,,,,https://www.openstreetmap.org/node/6536381254,,,"12.8755011, 77.5806222",,
"A V S Convent, Madiwala",,,,Private Un-Aided,,,,,,,12.9237085,77.6116936,https://www.openstreetmap.org/node/6536965027,"A V S Convent, Madiwala",,,operator=Private Un-Aided,,,,https://www.openstreetmap.org/node/6536965027,,,"12.9237085, 77.6116936",,
Abhayadhama Human Development Center,,,,,,,,,,,12.9778778,77.7481154,https://www.openstreetmap.org/way/136507312,Abhayadhama Human Development Center,,,,,,,https://www.openstreetmap.org/way/136507312,,,"12.9778778, 77.7481154",,
"Act Secondary HPS , Beratena Agrahara",,,,Private Un-Aided,,,3,,,,12.8661456,77.6585897,https://www.openstreetmap.org/node/6422320802,"Act Secondary HPS , Beratena Agrahara",,,operator=Private Un-Aided; levels=3,,,,https://www.openstreetmap.org/node/6422320802,,,"12.8661456, 77.6585897",,
Adarsh KHPS,,,,Pvt. Aided,,,2,,,,12.9306021,77.589132,https://www.openstreetmap.org/node/6349412964,Adarsh KHPS,,,operator=Pvt. Aided; levels=2,,,,https://www.openstreetmap.org/node/6349412964,,,"12.9306021, 77.589132",,
"Adarsha Edu Centre HPS , Hongasandra 1",,,,Private Un-Aided,,,3,,,,12.8915456,77.6250974,https://www.openstreetmap.org/node/6528187028,"Adarsha Edu Centre HPS , Hongasandra 1",,,operator=Private Un-Aided; levels=3,,,,https://www.openstreetmap.org/node/6528187028,,,"12.8915456, 77.6250974",,
Adhyatama Vidhya Peetham,,,,,,,,,,,12.9117929,77.7083708,https://www.openstreetmap.org/way/1088209013,Adhyatama Vidhya Peetham,,,,,,,https://www.openstreetmap.org/way/1088209013,,,"12.9117929, 77.7083708",,
Adithya public school,,,,,,,,,,,12.9499206,77.6151518,https://www.openstreetmap.org/node/663604714,Adithya public school,,,,,,,https://www.openstreetmap.org/node/663604714,,,"12.9499206, 77.6151518",,
"Aditya Venkatapura, Madiwala",,,,Private Un-Aided,,,2,,,,12.9173053,77.6330233,https://www.openstreetmap.org/node/6690688892,"Aditya Venkatapura, Madiwala",,,operator=Private Un-Aided; levels=2,,,,https://www.openstreetmap.org/node/6690688892,,,"12.9173053, 77.6330233",,
Advanced Animation Academy,,,,,,,,,,,13.0089647,77.580665,https://www.openstreetmap.org/node/664332022,Advanced Animation Academy,,,,,,,https://www.openstreetmap.org/node/664332022,,,"13.0089647, 77.580665",,
"AECS Magnolia Maruthi Public School, Arakere",,,,Private,,,3,,,,12.8847076,77.597022,https://www.openstreetmap.org/way/236678607,"AECS Magnolia Maruthi Public School, Arakere",,,operator=Private; levels=3,,,,https://www.openstreetmap.org/way/236678607,,,"12.8847076, 77.597022",,
Air Force School,,,,,,,,,,,13.0721308,77.5492982,https://www.openstreetmap.org/node/1463790590,Air Force School,,,,,,,https://www.openstreetmap.org/node/1463790590,,,"13.0721308, 77.5492982",,
Akal Public School,,,,,,,,,,,13.0397539,77.5731622,https://www.openstreetmap.org/way/1378923054,Akal Public School,,,,,,,https://www.openstreetmap.org/way/1378923054,,,"13.0397539, 77.5731622",,
Al Rahi Edu Sch Bommanahalli,,,,Private Un-Aided,,,3,,,,12.9050686,77.6351798,https://www.openstreetmap.org/node/6422577408,Al Rahi Edu Sch Bommanahalli,,,operator=Private Un-Aided; levels=3,,,,https://www.openstreetmap.org/node/6422577408,,,"12.9050686, 77.6351798",,
Al-Ameen Kambal Posh,,,,,,,,,,,12.9904302,77.6015787,https://www.openstreetmap.org/way/1083566594,Al-Ameen Kambal Posh,,,,,,,https://www.openstreetmap.org/way/1083566594,,,"12.9904302, 77.6015787",,
Allamandas School,,,,,,,,,,,12.996573,77.5731253,https://www.openstreetmap.org/way/1113050873,Allamandas School,,,,,,,https://www.openstreetmap.org/way/1113050873,,,"12.996573, 77.5731253",,
Alpha Public School,,,,,,,,,,,13.1091167,77.6142983,https://www.openstreetmap.org/way/1084735115,Alpha Public School,,,,,,,https://www.openstreetmap.org/way/1084735115,,,"13.1091167, 77.6142983",,
Alpine Public School,,,,,,,,,,,12.8938182,77.5627707,https://www.openstreetmap.org/way/37351658,Alpine Public School,,,,,,,https://www.openstreetmap.org/way/37351658,,,"12.8938182, 77.5627707",,
Amar Jyothi Public School & Pre-University College,,,,,,,,,,,13.0101494,77.7016436,https://www.openstreetmap.org/way/252087018,Amar Jyothi Public School & Pre-University College,,,,,,,https://www.openstreetmap.org/way/252087018,,,"13.0101494, 77.7016436",,
Amatra Academy,,,,,,,,,,,12.8960717,77.6726794,https://www.openstreetmap.org/way/922840254,Amatra Academy,,,,,,,https://www.openstreetmap.org/way/922840254,,,"12.8960717, 77.6726794",,
Ambedkar Memorial Higher and Primary School,"2 3rd Main Road, Bengaluru, 560086",,,,,,,,,,13.0005442,77.5477515,https://www.openstreetmap.org/relation/5160222,Ambedkar Memorial Higher and Primary School,"2 3rd Main Road, Bengaluru, 560086",,,,,,https://www.openstreetmap.org/relation/5160222,,,"13.0005442, 77.5477515",,
Amrutha English School,,,,,,,,,,,13.0657224,77.5997239,https://www.openstreetmap.org/way/1217466598,Amrutha English School,,,,,,,https://www.openstreetmap.org/way/1217466598,,,"13.0657224, 77.5997239",,
Anganavadi,,,,,,,,,,,12.991587,77.5684205,https://www.openstreetmap.org/node/663604698,Anganavadi,,,,,,,https://www.openstreetmap.org/node/663604698,,,"12.991587, 77.5684205",,
Angel Heart Montessori Play School,,,,,,,,,,,12.9187503,77.6518327,https://www.openstreetmap.org/node/263472508,Angel Heart Montessori Play School,,,,,,,https://www.openstreetmap.org/node/263472508,,,"12.9187503, 77.6518327",,
"Anikethan Pub Sch , Hongasandra 1",,,,Private Un-Aided,,,2,,,,12.8999361,77.6264784,https://www.openstreetmap.org/node/6528217093,"Anikethan Pub Sch , Hongasandra 1",,,operator=Private Un-Aided; levels=2,,,,https://www.openstreetmap.org/node/6528217093,,,"12.8999361, 77.6264784",,
Anjadari High School,,,,,,,,,,,12.9107639,77.6982487,https://www.openstreetmap.org/node/10564184364,Anjadari High School,,,,,,,https://www.openstreetmap.org/node/10564184364,,,"12.9107639, 77.6982487",,
Anjanadri High School,,,,,,,,,,,12.9107638,77.6982487,https://www.openstreetmap.org/node/10564871673,Anjanadri High School,,,,,,,https://www.openstreetmap.org/node/10564871673,,,"12.9107638, 77.6982487",,
Ankith HPS Bilekalli,,,,Private Un-Aided,,,3,,,,12.900731,77.6047963,https://www.openstreetmap.org/node/6422554513,Ankith HPS Bilekalli,,,operator=Private Un-Aided; levels=3,,,,https://www.openstreetmap.org/node/6422554513,,,"12.900731, 77.6047963",,
Ankur Nursery School,"123, C/o Ankur Nursery School, Udani Layout, Cambridge Road, 560008",,,,,,,,,,12.9719967,77.6278036,https://www.openstreetmap.org/node/1543969345,Ankur Nursery School,"123, C/o Ankur Nursery School, Udani Layout, Cambridge Road, 560008",,,,,,https://www.openstreetmap.org/node/1543969345,,,"12.9719967, 77.6278036",,
Annaswamy Mudaliar High School,,,,,,,,,,,12.9989467,77.6143957,https://www.openstreetmap.org/way/411052127,Annaswamy Mudaliar High School,,,,,,,https://www.openstreetmap.org/way/411052127,,,"12.9989467, 77.6143957",,
