name,address,phone,website,operator,operator_type,board,levels,gender,religion,language,lat,lon,osm_url,Name,Address,Fee Structure,Basic Infomation,Contact Details,FAQ,Admission Details,Other Key Infomation,School Infrastructure Details,Co-Curricular Activities,Travel Infomation,Review,Summary
A School,,,,,,,,,,,12.9409635,80.1987888,https://www.openstreetmap.org/way/203214270,A School,,,,,,,https://www.openstreetmap.org/way/203214270,,,"12.9409635, 80.1987888",,
Aathichudy Special School,"49 K.P.K. Salai, Kanaga Durgai Nagar, Kanchipuram, 631502",+914427264422,,,,,,,,,13.0048641,80.252718,https://www.openstreetmap.org/node/4447008637,Aathichudy Special School,"49 K.P.K. Salai, Kanaga Durgai Nagar, Kanchipuram, 631502",,,phone: +914427264422,,,https://www.openstreetmap.org/node/4447008637,,,"13.0048641, 80.252718",,
AB Parekh Hr Sec School,,,,,,,,,,,13.0883355,80.2772191,https://www.openstreetmap.org/node/1069491576,AB Parekh Hr Sec School,,,,,,,https://www.openstreetmap.org/node/1069491576,,,"13.0883355, 80.2772191",,
Advent Primary School,"Naidu Street, chennai, 600085",,,Advent Christian Confrence,,,,,,,13.0188201,80.2450928,https://www.openstreetmap.org/way/348495071,Advent Primary School,"Naidu Street, chennai, 600085",,operator=Advent Christian Confrence,,,,https://www.openstreetmap.org/way/348495071,,,"13.0188201, 80.2450928",,
Akshara School,,,,,,,,,,,12.9334921,80.2365085,https://www.openstreetmap.org/node/2124725682,Akshara School,,,,,,,https://www.openstreetmap.org/node/2124725682,,,"12.9334921, 80.2365085",,
Akshaya,,,,,,,,,,,12.9787977,80.2224844,https://www.openstreetmap.org/node/747616456,Akshaya,,,,,,,https://www.openstreetmap.org/node/747616456,,,"12.9787977, 80.2224844",,
Ambal Metriculation School,,,,,,,,,,,13.0734099,80.2062046,https://www.openstreetmap.org/node/614436617,Ambal Metriculation School,,,,,,,https://www.openstreetmap.org/node/614436617,,,"13.0734099, 80.2062046",,
American International School Chennai,,+914422549000,https://www.aischennai.org/,,,,,,,,12.9822529,80.2465338,https://www.openstreetmap.org/way/33300163,American International School Chennai,,,,phone: +914422549000 | website: https://www.aischennai.org/,,"ources Experiential Learning English as an Additional Language (EAL) Service Learning (SEVAI) Student Life Athletics at AISC Aquatics Activities & Clubs Arts Sports and Activities Admissions Admissions Overview Our Community Parent Community Association Alumni Environmental Responsibility CareerX@AISC The Art Collective 2024 The Art Collective 2023 Quick Links Live Events #SchoolStories All Items News Photos Videos Publications Facebook Instagram Place Community Self Futures login for me, for my discover more for me, for my discover more + click for my Welcome back! Discover more Teaching & Learning Academic Excellence Adm",https://www.openstreetmap.org/way/33300163,"hennai | AISC menu Contact Inquire Careers Safeguarding Home About AISC Head of School's Welcome Our Mission, Vision, and Values AISC in Brief Futures Plan Wellbeing Framework Our Campus Administration Board of Directors Careers Working at AISC AISC Job Openings Professional Development Living in Chennai Learning at AISC Teaching and Learning Academic Excellence Elementary ES at AISC Early Years ES Experiential Learning Middle School MS at AISC Week Without Walls High School HS at AISC Discovery Program Personalized Learning Library Technology Tech at AISC Parent Resources Experiential Learning English as an Additional Lan","ing Library Technology Tech at AISC Parent Resources Experiential Learning English as an Additional Language (EAL) Service Learning (SEVAI) Student Life Athletics at AISC Aquatics Activities & Clubs Arts Sports and Activities Admissions Admissions Overview Our Community Parent Community Association Alumni Environmental Responsibility CareerX@AISC The Art Collective 2024 The Art Collective 2023 Quick Links Live Events #SchoolStories All Items News Photos Videos Publications Facebook Instagram Place Community Self Futures login for me, for my discover more for me, for my discover more + click for my Welcome back! Discover mo","12.9822529, 80.2465338",,has admission details | has school infrastructure details | has co-curricular activities
AMM School,,,,,,,,,,,13.0190589,80.242,https://www.openstreetmap.org/way/35015054,AMM School,,,,,,,https://www.openstreetmap.org/way/35015054,,,"13.0190589, 80.242",,
AMM School,,,,,,,,,,,12.9646286,80.2583329,https://www.openstreetmap.org/way/440897489,AMM School,,,,,,,https://www.openstreetmap.org/way/440897489,,,"12.9646286, 80.2583329",,
Amrita Vidyalaya,,,,,,,,,,,13.0247563,80.189912,https://www.openstreetmap.org/node/1306385769,Amrita Vidyalaya,,,,,,,https://www.openstreetmap.org/node/1306385769,,,"13.0247563, 80.189912",,
