name,address,phone,website,operator,operator_type,board,levels,gender,religion,language,lat,lon,osm_url,Name,Address,Fee Structure,Basic Infomation,Contact Details,FAQ,Admission Details,Other Key Infomation,School Infrastructure Details,Co-Curricular Activities,Travel Infomation,Review,Summary
Aadhar Shila Public School,,,,,,,,,,,28.7034405,77.1372224,https://www.openstreetmap.org/way/851802582,Aadhar Shila Public School,,,,,,,https://www.openstreetmap.org/way/851802582,,,"28.7034405, 77.1372224",,
Aadyant,11 Nelson Mandela Marg,,,,,,,,,,28.5324614,77.1498449,https://www.openstreetmap.org/node/10750336512,Aadyant,11 Nelson Mandela Marg,,,,,,https://www.openstreetmap.org/node/10750336512,,,"28.5324614, 77.1498449",,
Adarsh Bal Vidyalaya,,,,,,,,,,,28.6304676,77.274201,https://www.openstreetmap.org/node/11218263069,Adarsh Bal Vidyalaya,,,,,,,https://www.openstreetmap.org/node/11218263069,,,"28.6304676, 77.274201",,
Adarsh Model School,,,,,,,,,,,28.6159282,77.0515048,https://www.openstreetmap.org/way/260309941,Adarsh Model School,,,,,,,https://www.openstreetmap.org/way/260309941,,,"28.6159282, 77.0515048",,
Adarsh World School,,,,,,,,,,,28.5943755,77.0435682,https://www.openstreetmap.org/node/4453301889,Adarsh World School,,,,,,,https://www.openstreetmap.org/node/4453301889,,,"28.5943755, 77.0435682",,
Adriel High,,,https://www.pratapinternational.com/delhi,Pratap International,private,,,,,,28.7252092,77.0889286,https://www.openstreetmap.org/way/1297687815,Adriel High,,"Adriel high school --> --> “No donation/ capitation fees are taken at Ahs by pratap international. Any such demand should be reported at complaint@pratapinternational.|| Click here to fill Registration/ Admission Form For session 20224-25 || click here||Winter break start from 30-12-2023. +91-011-27933377 / 41062518/ 7291969700 principaladrielhigh@gmail.com , office@pratapinternational.com Home About us Introduction Our Mission Director Message Principal Message PUBLIC DISCLOSURE Public Disclosure",operator=Pratap International; operator_type=private,website: https://www.pratapinternational.com/delhi,,"gh school --> --> “No donation/ capitation fees are taken at Ahs by pratap international. Any such demand should be reported at complaint@pratapinternational.|| Click here to fill Registration/ Admission Form For session 20224-25 || click here||Winter break start from 30-12-2023. +91-011-27933377 / 41062518/ 7291969700 principaladrielhigh@gmail.com , office@pratapinternational.com Home About us Introduction Our Mission Director Message Principal Message PUBLIC DISCLOSURE Public Disclosure CBSE Disaster Management & Risk Preparedness Student Zone Rules & Regulations Streams Holiday List Share your ideas and thoughts here. E",https://www.openstreetmap.org/way/1297687815,"ractice what is being taught and explained. We emanate an atmosphere where a child enters to learn and leaves to serve their own locality, nation, and humanity as a whole. --> Our Facilities Lorem Ipsum is simply dummy text of the printing and typesetting industry has been the industry's standard dummy text ever since the been when an unknown printer. --> Transportation The bus facility is available throughout the zones. The buses are equipped with [...] Small Class Size Classrooms optimized for best learning experience and ease of study. Cultural Activity Rooms The school offers students training in all forms of dance and",GUIDELINES Registration Forms For Class I (2025-26) Registration Forms For Class Nur & KG (2025-26) Academics Summer Holiday Homework Syllabus RESOURCE BOOK LIST Fee Structure Our Activities Our Services Gallery Photo Gallery VIDEO GALLERY Calendar Circular LOGIN TC Search Vacancy Menu Home About us Student Zone Admission Academics Fee Structure Our Activities Our Services Gallery Calendar Circular LOGIN TC Search Vacancy About us Introduction Our Mission Director Message Principal Message PUBLIC DISCLOSURE Public Disclosure CBSE Disaster Management & Risk Preparedness Student Zone Rules & Regulations Streams Holiday List,"28.7252092, 77.0889286",,has admission details | has fee structure | has school infrastructure details | has co-curricular activities
Ahlcon International School,,,,,,,,,,,28.6120628,77.2881353,https://www.openstreetmap.org/node/5223511422,Ahlcon International School,,,,,,,https://www.openstreetmap.org/node/5223511422,,,"28.6120628, 77.2881353",,
Ahlcon Public School,,,,,,,,,,,28.607846,77.291341,https://www.openstreetmap.org/node/5227835168,Ahlcon Public School,,,,,,,https://www.openstreetmap.org/node/5227835168,,,"28.607846, 77.291341",,
"Ahlcon Public School, Mayur Vihar","Ahlcon Public School Shashi Park Rd, Mayur Vihar, Delhi, Delhi, 110091",,,,,,,,,,28.6080864,77.2912961,https://www.openstreetmap.org/way/1015229029,"Ahlcon Public School, Mayur Vihar","Ahlcon Public School Shashi Park Rd, Mayur Vihar, Delhi, Delhi, 110091",,,,,,https://www.openstreetmap.org/way/1015229029,,,"28.6080864, 77.2912961",,
Air Force Bal Bharati School,"Lodi Road, New Delhi, 110003",,https://www.airforcebalbharatischool.in/,Indian Air Force Educational and Cultural Society.,,,0-12,,,,28.5896221,77.2268972,https://www.openstreetmap.org/way/287659126,Air Force Bal Bharati School,"Lodi Road, New Delhi, 110003",,operator=Indian Air Force Educational and Cultural Society.; levels=0-12,website: https://www.airforcebalbharatischool.in/,,,https://www.openstreetmap.org/way/287659126,,,"28.5896221, 77.2268972",,
Air Force Golden Jubilee Institute,"Arjan Path, Delhi Cantonment, DL, 110010",+911125692819,https://www.afgji.in/,Indian Air Force Educational and Cultural Society,public,,1;2;3,mixed,,,28.5804937,77.1481101,https://www.openstreetmap.org/relation/19171271,Air Force Golden Jubilee Institute,"Arjan Path, Delhi Cantonment, DL, 110010",,operator=Indian Air Force Educational and Cultural Society; operator_type=public; levels=1;2;3; gender=mixed,phone: +911125692819 | website: https://www.afgji.in/,,,https://www.openstreetmap.org/relation/19171271,,,"28.5804937, 77.1481101",,
