name,address,phone,website,operator,operator_type,board,levels,gender,religion,language,lat,lon,osm_url,Name,Address,Fee Structure,Basic Infomation,Contact Details,FAQ,Admission Details,Other Key Infomation,School Infrastructure Details,Co-Curricular Activities,Travel Infomation,Review,Summary
Adarsha CBSE School,,,,,,,,,,,17.6779286,83.2004671,https://www.openstreetmap.org/way/301425366,Adarsha CBSE School,,,,,,,https://www.openstreetmap.org/way/301425366,,,"17.6779286, 83.2004671",,
ADOBE School,,,,,,,,,,,17.4525847,78.2854753,https://www.openstreetmap.org/node/13022908099,ADOBE School,,,,,,,https://www.openstreetmap.org/node/13022908099,,,"17.4525847, 78.2854753",,
AISFM,,,,private,,,,,,,17.4275284,78.422609,https://www.openstreetmap.org/way/860523307,AISFM,,,operator=private,,,,https://www.openstreetmap.org/way/860523307,,,"17.4275284, 78.422609",,
Akshara high school,,,,,,,,,,,17.4993906,78.4194064,https://www.openstreetmap.org/node/9729514478,Akshara high school,,,,,,,https://www.openstreetmap.org/node/9729514478,,,"17.4993906, 78.4194064",,
Alwardas School,,,,,,,,,,,17.757049,83.2182465,https://www.openstreetmap.org/way/1319192483,Alwardas School,,,,,,,https://www.openstreetmap.org/way/1319192483,,,"17.757049, 83.2182465",,
ambedkar college,,,,,,,,,,,17.4006987,78.4997908,https://www.openstreetmap.org/way/732247772,ambedkar college,,,,,,,https://www.openstreetmap.org/way/732247772,,,"17.4006987, 78.4997908",,
Ameri KIDS International & SWETCHA Schools,,,,,,,,,,,17.439112,78.434176,https://www.openstreetmap.org/node/6847914814,Ameri KIDS International & SWETCHA Schools,,,,,,,https://www.openstreetmap.org/node/6847914814,,,"17.439112, 78.434176",,
Ameya World School,"Sangivalasa, Visakhapatnam, 531162",,,,,,,,,,17.9092019,83.4280108,https://www.openstreetmap.org/way/875038842,Ameya World School,"Sangivalasa, Visakhapatnam, 531162",,,,,,https://www.openstreetmap.org/way/875038842,,,"17.9092019, 83.4280108",,
Anganavadi school,,,,,,,,,,,17.8396073,83.3634321,https://www.openstreetmap.org/way/487131994,Anganavadi school,,,,,,,https://www.openstreetmap.org/way/487131994,,,"17.8396073, 83.3634321",,
Angel's Convent High School,,,,,,,,,,,17.3529531,78.507007,https://www.openstreetmap.org/node/7088336248,Angel's Convent High School,,,,,,,https://www.openstreetmap.org/node/7088336248,,,"17.3529531, 78.507007",,
Anjuman Girls High School (Urdu Medium),,,,,,,,,,,17.4169063,78.4946918,https://www.openstreetmap.org/node/5118590623,Anjuman Girls High School (Urdu Medium),,,,,,,https://www.openstreetmap.org/node/5118590623,,,"17.4169063, 78.4946918",,
