name,address,phone,website,operator,operator_type,board,levels,gender,religion,language,lat,lon,osm_url,Name,Address,Fee Structure,Basic Infomation,Contact Details,FAQ,Admission Details,Other Key Infomation,School Infrastructure Details,Co-Curricular Activities,Travel Infomation,Review,Summary
ACE International School,"behind Khas bagh, jodhpur, 342011",,,,,,,,,,26.2820355,73.0298764,https://www.openstreetmap.org/node/5054364997,ACE International School,"behind Khas bagh, jodhpur, 342011",,,,,,https://www.openstreetmap.org/node/5054364997,,,"26.2820355, 73.0298764",,
Anant Lewis Public school,,,,,,,,,,,26.3107387,73.093571,https://www.openstreetmap.org/node/11717109452,Anant Lewis Public school,,,,,,,https://www.openstreetmap.org/node/11717109452,,,"26.3107387, 73.093571",,
Best Brain International School,,,,Brain Bench Spoken English And Personality Development,,,,,,,26.2851352,73.0146518,https://www.openstreetmap.org/node/4780401029,Best Brain International School,,,operator=Brain Bench Spoken English And Personality Development,,,,https://www.openstreetmap.org/node/4780401029,,,"26.2851352, 73.0146518",,
Central Academy,,,,,,,,,,,26.3119101,73.0892521,https://www.openstreetmap.org/node/11717114751,Central Academy,,,,,,,https://www.openstreetmap.org/node/11717114751,,,"26.3119101, 73.0892521",,
"Central acedemy,jodhpur","saran nagar, Jodhpur",,,,,,,,,,26.3114102,73.0884852,https://www.openstreetmap.org/node/5657812427,"Central acedemy,jodhpur","saran nagar, Jodhpur",,,,,,https://www.openstreetmap.org/node/5657812427,,,"26.3114102, 73.0884852",,
Goverment school,"Mahamandir, jodhpur",,,Goverment,,,,,,,26.3081417,73.0484232,https://www.openstreetmap.org/node/2325418681,Goverment school,"Mahamandir, jodhpur",,operator=Goverment,,,,https://www.openstreetmap.org/node/2325418681,,,"26.3081417, 73.0484232",,
Greenfield Public School,,,,,,,0-8,,,,26.1969554,72.9991032,https://www.openstreetmap.org/way/1258226889,Greenfield Public School,,,levels=0-8,,,,https://www.openstreetmap.org/way/1258226889,,,"26.1969554, 72.9991032",,
Gregorios,,,,,,,,,,,26.2616007,73.0363552,https://www.openstreetmap.org/node/1296898947,Gregorios,,,,,,,https://www.openstreetmap.org/node/1296898947,,,"26.2616007, 73.0363552",,
Hanwant School,,,,,,,,,,,26.2664959,72.9942638,https://www.openstreetmap.org/way/155456156,Hanwant School,,,,,,,https://www.openstreetmap.org/way/155456156,,,"26.2664959, 72.9942638",,
JAIN SCHOOL,,,,,,,,,,,26.3072975,73.0404533,https://www.openstreetmap.org/node/12592454417,JAIN SCHOOL,,,,,,,https://www.openstreetmap.org/node/12592454417,,,"26.3072975, 73.0404533",,
lal maidan,,,,,,,,,,,26.3004151,73.0414662,https://www.openstreetmap.org/node/2333262171,lal maidan,,,,,,,https://www.openstreetmap.org/node/2333262171,,,"26.3004151, 73.0414662",,
Lord shiva school of nursing,,,,,,,,,,,26.3124039,73.0907347,https://www.openstreetmap.org/node/11717114750,Lord shiva school of nursing,,,,,,,https://www.openstreetmap.org/node/11717114750,,,"26.3124039, 73.0907347",,
Lucky  International School,,,,,,,,,,,26.2087505,73.031535,https://www.openstreetmap.org/way/519895156,Lucky  International School,,,,,,,https://www.openstreetmap.org/way/519895156,,,"26.2087505, 73.031535",,
New Bal Vidhya Bhawan School,,,,Shri Ghanchi Mahasabha Jodhpur,,,,,,,26.2867585,73.0135038,https://www.openstreetmap.org/node/4780399788,New Bal Vidhya Bhawan School,,,operator=Shri Ghanchi Mahasabha Jodhpur,,,,https://www.openstreetmap.org/node/4780399788,,,"26.2867585, 73.0135038",,
"rajkiya ucch madhyamik vidhylaya , basni tamboliya",,,,,,,,,,,26.3349183,73.0825812,https://www.openstreetmap.org/node/5657850634,"rajkiya ucch madhyamik vidhylaya , basni tamboliya",,,,,,,https://www.openstreetmap.org/node/5657850634,,,"26.3349183, 73.0825812",,
Saint Anne's,,,,,,,,,,,26.2321311,73.0190704,https://www.openstreetmap.org/way/132725772,Saint Anne's,,,,,,,https://www.openstreetmap.org/way/132725772,,,"26.2321311, 73.0190704",,
sant francis School,,,,,,,,,,,26.3116148,73.0941901,https://www.openstreetmap.org/node/11717217663,sant francis School,,,,,,,https://www.openstreetmap.org/node/11717217663,,,"26.3116148, 73.0941901",,
Sardar Doon Public School,,,,,,,,,,,26.2800497,73.0153497,https://www.openstreetmap.org/way/511237102,Sardar Doon Public School,,,,,,,https://www.openstreetmap.org/way/511237102,,,"26.2800497, 73.0153497",,
sardar doon school,"Eidgah Rd,Jalori Gate, Sardarpura Khurd, Jodhpur, 342001",,https://www.sardardoonschool.com/,Oswal Singh Sabha,,,1-12,,,,26.279757,73.0154095,https://www.openstreetmap.org/node/3125232394,sardar doon school,"Eidgah Rd,Jalori Gate, Sardarpura Khurd, Jodhpur, 342001","Sardar Doon Public School Welcome To SDPS Online Fees --> Phone 0291-2435270 0291-2614148 Address Sardar School Campus, Sardarpura, Jodhpur (Raj.) Home Know Us About SDPS Education Committee Glancing History Vision & Mission Our Objective Messages President's Pen Secretary's Words Principal's Message Our Team Innovation Council Sexual Harassment Committee The Pillars Board Of Governors School Managment Committee --> Alumni FAQ SDPS Life Timings Scholar Uniform Pre-Primary Uniform Primary Unifor",operator=Oswal Singh Sabha; levels=1-12,website: https://www.sardardoonschool.com/,President's Pen Secretary's Words Principal's Message Our Team Innovation Council Sexual Harassment Committee The Pillars Board Of Governors School Managment Committee --> Alumni FAQ SDPS Life Timings Scholar Uniform Pre-Primary Uniform Primary Uniform Middle/Sec/Sr.Sec Uniform Staff Uniform Admin Uniform Teaching Uniform --> Rules & Regulations Conveyance Rules Student Conduct Recommendations To Guardians Mode Of Payment Path To Success Houses Clubs School Calendar Safety Measures CBSE Corner Affiliations --> Curriculum Pre-Primary Primary Middle Sec/Sr.Sec Examination Assessment Policy Test Schedule Section Wise Enrollm,ety Measures CBSE Corner Affiliations --> Curriculum Pre-Primary Primary Middle Sec/Sr.Sec Examination Assessment Policy Test Schedule Section Wise Enrollment Mandatory Disclosure Admission Admission Criteria Admission Procedure Fees Structure Subject Combination Admission Results Brochure Admission Form For Playgroup to IX For Class XI Memories Photo Gallery Video Gallery School Tour Infrastructure Heritage Building Academic Work Co-Scholastic Facilities School Campus Physical Infrastructure --> Beyond Academics Transportation Routes GPS Tracking --> Vehicle/Driver Details Academic Labs Library Infirmary --> Sports Inform,https://www.openstreetmap.org/node/3125232394,"Sardar Doon Public School Welcome To SDPS Online Fees --> Phone 0291-2435270 0291-2614148 Address Sardar School Campus, Sardarpura, Jodhpur (Raj.) Home Know Us About SDPS Education Committee Glancing History Vision & Mission Our Objective Messages President's Pen Secretary's Words Principal's Message Our Team Innovation Council Sexual Harassment Committee The Pillars Board Of Governors School Managment Committee --> Alumni FAQ SDPS Life Timings Scholar Uniform Pre-Primary Uniform Primary Uniform Middle/Sec/Sr.Sec Uniform Staff Uniform Admin Uniform Teachin",c Uniform Staff Uniform Admin Uniform Teaching Uniform --> Rules & Regulations Conveyance Rules Student Conduct Recommendations To Guardians Mode Of Payment Path To Success Houses Clubs School Calendar Safety Measures CBSE Corner Affiliations --> Curriculum Pre-Primary Primary Middle Sec/Sr.Sec Examination Assessment Policy Test Schedule Section Wise Enrollment Mandatory Disclosure Admission Admission Criteria Admission Procedure Fees Structure Subject Combination Admission Results Brochure Admission Form For Playgroup to IX For Class XI Memories Photo Gallery Video Gallery School Tour Infrastructure Heritage Building Acad,"26.279757, 73.0154095",,has admission details | has fee structure | has school infrastructure details | has co-curricular activities | has faq
School Premisses,"near Maulana Azad Campus, Jodhpur",,,Autonomous,,,,,,,26.2741855,72.9871223,https://www.openstreetmap.org/node/3125256872,School Premisses,"near Maulana Azad Campus, Jodhpur",,operator=Autonomous,,,,https://www.openstreetmap.org/node/3125256872,,,"26.2741855, 72.9871223",,
