name,address,phone,website,operator,operator_type,board,levels,gender,religion,language,lat,lon,osm_url,Name,Address,Fee Structure,Basic Infomation,Contact Details,FAQ,Admission Details,Other Key Infomation,School Infrastructure Details,Co-Curricular Activities,Travel Infomation,Review,Summary
A.B.Goregaonkar English School,,,,,,,,,,,19.1673529,72.8470978,https://www.openstreetmap.org/way/102765231,A.B.Goregaonkar English School,,,,,,,https://www.openstreetmap.org/way/102765231,,,"19.1673529, 72.8470978",,
Aakash Institute,,,,,,,,,,,19.1194001,72.8455521,https://www.openstreetmap.org/node/11698463569,Aakash Institute,,,,,,,https://www.openstreetmap.org/node/11698463569,,,"19.1194001, 72.8455521",,
Aarey School,,,,,,,,,,,19.1471385,72.8792864,https://www.openstreetmap.org/way/628890938,Aarey School,,,,,,,https://www.openstreetmap.org/way/628890938,,,"19.1471385, 72.8792864",,
Abhyudaya Nagar Municipal School,,,,BMC,government,,,,,,18.9906119,72.8429131,https://www.openstreetmap.org/way/979610953,Abhyudaya Nagar Municipal School,,,operator=BMC; operator_type=government,,,,https://www.openstreetmap.org/way/979610953,,,"18.9906119, 72.8429131",,
Activity High School,,,,,private,,,,,,18.9743163,72.8088626,https://www.openstreetmap.org/way/752114567,Activity High School,,,operator_type=private,,,,https://www.openstreetmap.org/way/752114567,,,"18.9743163, 72.8088626",,
Adarsha Vidyalaya,400 071,,,,,,,,,,19.0630152,72.8898071,https://www.openstreetmap.org/way/427200308,Adarsha Vidyalaya,400 071,,,,,,https://www.openstreetmap.org/way/427200308,,,"19.0630152, 72.8898071",,
AECS 4,,,,,,,,,,,19.0345814,72.9279587,https://www.openstreetmap.org/way/851810124,AECS 4,,,,,,,https://www.openstreetmap.org/way/851810124,,,"19.0345814, 72.9279587",,
Ahmed Sailor High School,Mumbai,,,,,,,,,,18.9651298,72.8301228,https://www.openstreetmap.org/way/356207224,Ahmed Sailor High School,Mumbai,,,,,,https://www.openstreetmap.org/way/356207224,,,"18.9651298, 72.8301228",,
Ajmera Global School,,,,,,,,,,,19.2331345,72.8467515,https://www.openstreetmap.org/node/1352290055,Ajmera Global School,,,,,,,https://www.openstreetmap.org/node/1352290055,,,"19.2331345, 72.8467515",,
Akshara Vidyalaya,,,,,,,,,,,19.2181146,72.8185552,https://www.openstreetmap.org/way/152181753,Akshara Vidyalaya,,,,,,,https://www.openstreetmap.org/way/152181753,,,"19.2181146, 72.8185552",,
American School of Bombay,,,,,,,,,,,19.067664,72.870696,https://www.openstreetmap.org/node/4185780309,American School of Bombay,,,,,,,https://www.openstreetmap.org/node/4185780309,,,"19.067664, 72.870696",,
American School of Bombay,,,,,,,,,,,19.0676717,72.8708182,https://www.openstreetmap.org/way/430412673,American School of Bombay,,,,,,,https://www.openstreetmap.org/way/430412673,,,"19.0676717, 72.8708182",,
Amulakh amichand vidyalaya,,,,,,,,,,,19.0271011,72.8603055,https://www.openstreetmap.org/node/10048595319,Amulakh amichand vidyalaya,,,,,,,https://www.openstreetmap.org/node/10048595319,,,"19.0271011, 72.8603055",,
Anjuman-I-Islam's Allana English High School,,,,,,,,,,,18.9425404,72.8341681,https://www.openstreetmap.org/way/207380909,Anjuman-I-Islam's Allana English High School,,,,,,,https://www.openstreetmap.org/way/207380909,,,"18.9425404, 72.8341681",,
Apostolic Carmel Convent (Girl's School),,,,,,,,,,,19.0550042,72.8262102,https://www.openstreetmap.org/node/347125102,Apostolic Carmel Convent (Girl's School),,,,,,,https://www.openstreetmap.org/node/347125102,,,"19.0550042, 72.8262102",,
Apostolic Carmel High School & Junior College,,,https://www.apostoliccarmelbandra.com/index.html,,,,,,christian,,19.0553123,72.8260078,https://www.openstreetmap.org/way/1421613461,Apostolic Carmel High School & Junior College,,,religion=christian,website: https://www.apostoliccarmelbandra.com/index.html,,"﻿ Apostolic Carmel School, Mumbai --> --> Previous Next News Vision Admissions Motto About Apostolic Carmel High School & JR College As the mighty oak has its beginnings in the humble acorn, the history of Apostolic Carmel can be traced back to the passing word: a simple conversation between Sr.Theodosia with the then Archbishop of Bombay, Valerian Cardinal Gracias that resulted in the transfer of the Girls Section of St.Andrew’s High School into the hands of the Carmel Sisters. Soon after Mother Sylvia and Mothe",https://www.openstreetmap.org/way/1421613461,ivities were encouraged. By 1962 the High School classes were shifted to the new building block and in 1971 an additional floor was constructed over the hall to provide a spacious library by Sr. Maria Rosa. Sports Calender School Band Events & Activities Krishna Janmashtami May Lord Krishna’s blessings shower upon your family and loved ones. Happy Krishna Janmashtami! 7 Sep Attachment --> View More Principal's Message Coming Soon... Read More Photo Gallery,ls school with English as the medium of instruction. In 1957 the school building was extended and the new chapel was blessed. Gradually the student strength increased and cultural activities were encouraged. By 1962 the High School classes were shifted to the new building block and in 1971 an additional floor was constructed over the hall to provide a spacious library by Sr. Maria Rosa. Sports Calender School Band Events & Activities Krishna Janmashtami May Lord Krishna’s blessings shower upon your family and loved ones. Happy Krishna Janmashtami! 7 Sep Attachment --> View More Principal's Message Coming Soon... Read More,"19.0553123, 72.8260078",,has admission details | has school infrastructure details | has co-curricular activities
Army Public School,"Nanabhai Moos Marg, Mumbai, 400005",+917506086333,https://www.apsmumbai.com/,,,,,,,,18.901355,72.8134151,https://www.openstreetmap.org/way/978824057,Army Public School,"Nanabhai Moos Marg, Mumbai, 400005","e from 15th February 2025. Admissions will be based on available vacancies and priority list. For Form, Priority list and other details, visit the Admissions section. Registration fee is Non-Refundable. THE REGISTRATION FOR CLASS XI PROVISIONAL ADMISSION HAS BEEN STARTED.BRIDGE COUSRE WILL START FROM 7TH APRIL 2025. TIMINGS 8am-11am. Army Public School Mumbai Dr. Nanabhoy Moos Road, Near R. C. Church, Colaba, Mumbai - 400 005. apsmumbai@awesindia.edu.in +91 7506 086 333 FEE PAYMENT AND ADMISSION MANDATORY PUBLIC DISCLOSURE --> Medicio --> Home About us Principal Desk Management Team Staff Facilities ICT Academic Student De",,phone: +917506086333 | website: https://www.apsmumbai.com/,,"Army Public School Mumbai Registration for New Admissions 2025-26 (All Classes - Nursery onwards) will commence from 15th February 2025. Admissions will be based on available vacancies and priority list. For Form, Priority list and other details, visit the Admissions section. Registration fee is Non-Refundable. THE REGISTRATION FOR CLASS XI PROVISIONAL ADMISSION HAS BEEN STARTED.BRIDGE COUSRE WILL START FROM 7TH APRIL 2025. TIMINGS 8am-11am. Army Public School Mumbai Dr.",https://www.openstreetmap.org/way/978824057,bai - 400 005. apsmumbai@awesindia.edu.in +91 7506 086 333 FEE PAYMENT AND ADMISSION MANDATORY PUBLIC DISCLOSURE --> Medicio --> Home About us Principal Desk Management Team Staff Facilities ICT Academic Student Detail Primary Secondary Senior Secondary --> Result Book 2021-22 NCERT Awes Books Experimental Learning Sports Education Development Program Lifeskills and Activity Based Learning E-magazine --> school update CBSE Update News Letter Achievment CCA Student Corner gallery Photo Video admission/tc TC Procedure Fee Structure Online Fee career e-library alumni Contact us Counselling Syllabus Make an Appointment --> -->,ication Form ADM staff --> 01 June 2023 Application Form ADM staff --> 01 June 2023 Application Form ADM staff --> 01 June 2023 Application Form ADM staff --> EVENTS GALLERY Hobby Club Activity: Sandwich Making Inauguration of GALLANT GALLERY INTERNATIONAL YOGA DAY INTER HOUSE BASKET BALL COMPETITION 2023-24 Inter-Class Doodle Making competition (Class 6th -8th) Van Mahotsav IIT BOMBAY VISIT 2023-24 “National Handloom Day” Army Public School Mumbai win the Best Trophy 🏆 Award at GB Birla School for IIMUN EXPLORING THE WORLD BEYOND THE CLASS ROOM NATURES TREASURE TROVE:VISIT TO VIJAY UDHYAN ROLE PLAY School Model EVS Family,"18.901355, 72.8134151",,has admission details | has fee structure | has school infrastructure details | has co-curricular activities
Arya Vidya Mandir,"St. Dominic Street, Mumbai, 400050",02261013900,https://avmschools.ac.in/,,,,,,,,19.0574955,72.8285072,https://www.openstreetmap.org/way/545621122,Arya Vidya Mandir,"St. Dominic Street, Mumbai, 400050","Home - avm Fee Payment AVMBWS Fees Payment AVMBWS Fees Payment VCWAVM Fees Payment VCWAVM Fees Payment RSBAVM Fees Payment RSBAVM Fees Payment Fee Payment Policy Alumni Notable Alumni Alumni Sign-up Form Institute of Education Institute of Special Education Careers Contact us Registrationform About Us Management History Ethos Emblem and Motto Director’s Message Schools Arya Vidya Mandir Bandra West Smt. Ramdevi Sobhraj Bajaj Arya Vidya Mandir School, Juhu V",,phone: 02261013900 | website: https://avmschools.ac.in/,,"yment RSBAVM Fees Payment RSBAVM Fees Payment Fee Payment Policy Alumni Notable Alumni Alumni Sign-up Form Institute of Education Institute of Special Education Careers Contact us Registrationform About Us Management History Ethos Emblem and Motto Director’s Message Schools Arya Vidya Mandir Bandra West Smt. Ramdevi Sobhraj Bajaj Arya Vidya Mandir School, Juhu Vasudev C. Wadhwa Arya Vidya Mandir, Bandra East School Life Academics Roll of Honour Mode of Teaching School Motto, Emblem, Badges and House System Utkarsh and Bal Satsang Testimonials Yoga Sports News AVM-Bandra-East AVM-Juhu AVM-Bandra-West Admission Admission for",https://www.openstreetmap.org/way/545621122,"Wadhwa Arya Vidya Mandir, Bandra East School Life Academics Roll of Honour Mode of Teaching School Motto, Emblem, Badges and House System Utkarsh and Bal Satsang Testimonials Yoga Sports News AVM-Bandra-East AVM-Juhu AVM-Bandra-West Admission Admission for Jr. Trail to 10 2025-26 Admission for Early Trail 2026-27 Admission for XI ISC Commerce and Humanities Teacher Enhancement Teacher Enhancement- Juhu Teacher Enhancement- Bandra West Teacher Enhancement- Bandra East Aryadarpan About Us ▾ Management History Ethos Emblem and Motto Director’s Message Facilities Schools ▾ Arya Vidya Mandir Bandra West Smt. Ramdevi Sobhraj Baj",,"19.0574955, 72.8285072",Testimonials - avm Fee Payment AVMBWS Fees Payment AVMBWS Fees Payment VCWAVM Fees Payment VCWAVM Fees Payment RSBAVM Fees Payment RSBAVM Fees Payment Fee Payment Policy Alumni Notable Alumni Alumni Sign-up Form Institute of Education Institute of Special Education Careers Contact us Registrationform About Us Management History Ethos Emblem and Motto Director’s Message Schools Arya Vidya Mandir Bandra West Smt. Ramdevi Sobhraj Bajaj Arya Vidya Ma,has admission details | has fee structure | has school infrastructure details
Arya Vidya Mandir,,,,,,,,,,,19.0653822,72.858633,https://www.openstreetmap.org/way/1027121223,Arya Vidya Mandir,,,,,,,https://www.openstreetmap.org/way/1027121223,,,"19.0653822, 72.858633",,
Aryan E.S. High School,Jagannath Shankarsheth Marg,,,,,,,,,,18.9561135,72.8173833,https://www.openstreetmap.org/way/347010736,Aryan E.S. High School,Jagannath Shankarsheth Marg,,,,,,https://www.openstreetmap.org/way/347010736,,,"18.9561135, 72.8173833",,
Ashok Academy School,"Ashok Academy Lane, Mumbai, 400053",+912226365670,https://ashokacademy.org/,,,,0-12,,none,,19.1414178,72.8275901,https://www.openstreetmap.org/way/981839505,Ashok Academy School,"Ashok Academy Lane, Mumbai, 400053",,levels=0-12; religion=none,phone: +912226365670 | website: https://ashokacademy.org/,,"Home - Ashok Academy | Best CBSE School in Andheri, Mumbai Home About Admissions Academics Pre-Primary CBSE School Primary CBSE School Secondary CBSE School Office Bearers Events Photo Gallery 2025 Photo Gallery 2024 Photo Gallery 2023 Photo Gallery Video Gallery CBSE Faculty Mandatory Disclosure Mandatory Public Disclosure PDF Books List Curriculum Careers Contact Hit enter to search or ESC to close ** Admissions open for academic year 2025-2026 for Playgroup to Std IX. ** Home Blue and White professional Back to",https://www.openstreetmap.org/way/981839505,"edge aligned with the needs of modern classrooms by regularly attending training sessions, orientation programs and capacity building workshops for their professional development. Infrastructure CCTV secured campus, with well-equipped and state-of-the-art science labs, smart classrooms, computer labs and library, spacious outdoor play area and convenient bus transport routes. Nurturing Environment We firmly believe that every child is different and we encourage that uniqueness through a stimulating environment that excites curiosity, freedom and encouragement to pursue excellence. Our school is an “Anger-free” zone where s","-class CBSE School in Andheri Ashok Academy is considered to be the best CBSE school in Andheri, Mumbai, when it comes to student success, teaching excellence, robust academic and co-curricular activities with special emphasis on physical, social and emotional well-being of students. A world class CBSE school in Mumbai with international standards, our education philosophy is to guide and train students with a modern and international approach, at the same time following the CBSE curriculum. We have been adjudged Best School at several prestigious events and have cent percent results to our credit till date in the CBSE boa","19.1414178, 72.8275901",,has admission details | has school infrastructure details | has co-curricular activities
Aspee Nutan English Medium School,"Chunilal Giridharlal Road, Mumbai, 400064",,,,,,0-4,,,,19.1922983,72.8457233,https://www.openstreetmap.org/node/10645494069,Aspee Nutan English Medium School,"Chunilal Giridharlal Road, Mumbai, 400064",,levels=0-4,,,,https://www.openstreetmap.org/node/10645494069,,,"19.1922983, 72.8457233",,
Aspee Nutan English Medium School,"Chunilal Giridharlal Road, Mumbai, 400064",,,,,,0-4,,,,19.1922083,72.8457286,https://www.openstreetmap.org/way/1143525081,Aspee Nutan English Medium School,"Chunilal Giridharlal Road, Mumbai, 400064",,levels=0-4,,,,https://www.openstreetmap.org/way/1143525081,,,"19.1922083, 72.8457286",,
Atharva College of Engineering,,,,,,,,,,,19.1977249,72.8270575,https://www.openstreetmap.org/node/1416530124,Atharva College of Engineering,,,,,,,https://www.openstreetmap.org/node/1416530124,,,"19.1977249, 72.8270575",,
ATI Primary School,,,,,,,,,,,19.0560958,72.8798462,https://www.openstreetmap.org/way/202295219,ATI Primary School,,,,,,,https://www.openstreetmap.org/way/202295219,,,"19.0560958, 72.8798462",,
Atomic Energy Central School 1 Grounds,,,,,,,,,,,19.0398614,72.9201013,https://www.openstreetmap.org/way/816434676,Atomic Energy Central School 1 Grounds,,,,,,,https://www.openstreetmap.org/way/816434676,,,"19.0398614, 72.9201013",,
Atomic Energy Central School 2,"Anushakti Nagar, Mumbai, Maharashtra 400094 AECS School-2 Road",,,,,,,,,,19.0365673,72.9267349,https://www.openstreetmap.org/way/851810125,Atomic Energy Central School 2,"Anushakti Nagar, Mumbai, Maharashtra 400094 AECS School-2 Road",,,,,,https://www.openstreetmap.org/way/851810125,,,"19.0365673, 72.9267349",,
Atomic Energy Central School 6,,,,,,,,,,,19.0367846,72.9116324,https://www.openstreetmap.org/way/905319538,Atomic Energy Central School 6,,,,,,,https://www.openstreetmap.org/way/905319538,,,"19.0367846, 72.9116324",,
Atomic Energy Central School 6 Grounds,,,,,,,,,,,19.0371605,72.9109,https://www.openstreetmap.org/way/905319541,Atomic Energy Central School 6 Grounds,,,,,,,https://www.openstreetmap.org/way/905319541,,,"19.0371605, 72.9109",,
Atomic Energy Central School V,"New Mandala V.N. Purav Marg, Mumbai, 400094",,,,,,,,,,19.0381038,72.9332074,https://www.openstreetmap.org/way/279196737,Atomic Energy Central School V,"New Mandala V.N. Purav Marg, Mumbai, 400094",,,,,,https://www.openstreetmap.org/way/279196737,,,"19.0381038, 72.9332074",,
Auxilium Convent School,,,,,,,,,,,19.0164977,72.8545376,https://www.openstreetmap.org/way/113978749,Auxilium Convent School,,,,,,,https://www.openstreetmap.org/way/113978749,,,"19.0164977, 72.8545376",,
Azad High School and jr.college,"M G Ramchandran Marg, Mumbai, 400088",,,,,,,,,,19.0407848,72.9487261,https://www.openstreetmap.org/way/307396170,Azad High School and jr.college,"M G Ramchandran Marg, Mumbai, 400088",,,,,,https://www.openstreetmap.org/way/307396170,,,"19.0407848, 72.9487261",,
Azad School,"M G Ramchandran Marg, Mumbai, 400088",,,,,,,,,,19.0408975,72.9487218,https://www.openstreetmap.org/node/3125232138,Azad School,"M G Ramchandran Marg, Mumbai, 400088",,,,,,https://www.openstreetmap.org/node/3125232138,,,"19.0408975, 72.9487218",,
B.D. Somani International School,"625 GD Somani Road, Mumbai, 400005",,,,,,,,,,18.9160698,72.8199209,https://www.openstreetmap.org/node/4044345936,B.D. Somani International School,"625 GD Somani Road, Mumbai, 400005",,,,,,https://www.openstreetmap.org/node/4044345936,,,"18.9160698, 72.8199209",,
B.K.M. High School,,,,,,,,,,,18.9560629,72.8073544,https://www.openstreetmap.org/way/353377165,B.K.M. High School,,,,,,,https://www.openstreetmap.org/way/353377165,,,"18.9560629, 72.8073544",,
Bai Kabibai & Hansraj Moraraji Trust Andheri Campus,,,https://bkhm.edu.in/campus/,,,,,,,,19.1216004,72.8352815,https://www.openstreetmap.org/way/1170368734,Bai Kabibai & Hansraj Moraraji Trust Andheri Campus,,,,website: https://bkhm.edu.in/campus/,,,https://www.openstreetmap.org/way/1170368734,Bai Kabibai & Hansraj Morarji Charity Trust - Andheri Campus You are using an outdated browser. Please upgrade your browser to improve your experience. Bai Kabibai & Hansraj Morarji Charity Trust Andheri Campus Seth Hansraj Morarji Bai Kabibai Home Facilities Sports Indoor Sports Outdoor Sports Virtual Tour Building a Better World Our Institutions Bai Kabibai Balvatika Pre Primary School Hansraj Morarji Public School & Junior College Affiliated to SSC Board Rajhans Vidyalaya Affiliated to CBSE Board,"uditorium and Multi-Purpose Halls The Campus has a fully air conditioned central auditorium with a seating capacity of 550 persons where a variety of inter-school and intra-school activities are held. Besides the Central Auditorium, each school of the Campus has its own Multi-Purpose Hall. Art & Crafts “Art is the expression of the soul”-The aesthetically decorated ‘ART ROOM’ is where the students pursue their hobbies with passion. It provides canvases, paint, brushes and other paraphernalia needed to create some of the stirring images and artefacts. Counselling Keeping itself abreast with modern educational facilities and","19.1216004, 72.8352815",,has school infrastructure details | has co-curricular activities
Bai Ratan F. Pavri High School,,,,,,,,,,,18.9609622,72.8215502,https://www.openstreetmap.org/way/979371199,Bai Ratan F. Pavri High School,,,,,,,https://www.openstreetmap.org/way/979371199,,,"18.9609622, 72.8215502",,
Bai Ruttonbai F D Panday Girls' High School,,,,,,,,,,,18.9672012,72.8180127,https://www.openstreetmap.org/way/979362816,Bai Ruttonbai F D Panday Girls' High School,,,,,,,https://www.openstreetmap.org/way/979362816,,,"18.9672012, 72.8180127",,
Balmohan Vidyamandir,,,,,,,,,,,19.0253532,72.839202,https://www.openstreetmap.org/way/978615006,Balmohan Vidyamandir,,,,,,,https://www.openstreetmap.org/way/978615006,,,"19.0253532, 72.839202",,
Bandra Petit School,,,,BMC,government,,,,,,19.0566008,72.8345565,https://www.openstreetmap.org/way/1420982492,Bandra Petit School,,,operator=BMC; operator_type=government,,,,https://www.openstreetmap.org/way/1420982492,,,"19.0566008, 72.8345565",,
Bansidhar Agarwal High School,,,,,,,,,,,19.0175566,72.8558671,https://www.openstreetmap.org/way/685553901,Bansidhar Agarwal High School,,,,,,,https://www.openstreetmap.org/way/685553901,,,"19.0175566, 72.8558671",,
Banyan Tree English School,,,,,,,,,,,19.0365415,72.8519984,https://www.openstreetmap.org/way/979397740,Banyan Tree English School,,,,,,,https://www.openstreetmap.org/way/979397740,,,"19.0365415, 72.8519984",,
Baradevi Municipal School,,,,,,,,,,,19.0000399,72.8479402,https://www.openstreetmap.org/way/625809287,Baradevi Municipal School,,,,,,,https://www.openstreetmap.org/way/625809287,,,"19.0000399, 72.8479402",,
Besant Montessori School,,,,,,,,,,,19.1003705,72.8271703,https://www.openstreetmap.org/way/1226336534,Besant Montessori School,,,,,,,https://www.openstreetmap.org/way/1226336534,,,"19.1003705, 72.8271703",,
Bhairav Vidyalay,,,,,,,,,,,19.0714673,72.9158405,https://www.openstreetmap.org/way/528846345,Bhairav Vidyalay,,,,,,,https://www.openstreetmap.org/way/528846345,,,"19.0714673, 72.9158405",,
Bhausaheb Hiray Vidyalaya,,,,,,,,,,,18.973182,72.812634,https://www.openstreetmap.org/node/9060641466,Bhausaheb Hiray Vidyalaya,,,,,,,https://www.openstreetmap.org/node/9060641466,,,"18.973182, 72.812634",,
Billabong International School,,,,,,,,,,,19.2024655,72.8213105,https://www.openstreetmap.org/node/4498884750,Billabong International School,,,,,,,https://www.openstreetmap.org/node/4498884750,,,"19.2024655, 72.8213105",,
BM Ruia Girls College,,,,,,,,,,,18.959695,72.810409,https://www.openstreetmap.org/way/39842003,BM Ruia Girls College,,,,,,,https://www.openstreetmap.org/way/39842003,,,"18.959695, 72.810409",,
bmc ground,409 Mahindra Flyover Western Express,,,,,,9-12,,hindu,,19.2094954,72.8625372,https://www.openstreetmap.org/node/9443739333,bmc ground,409 Mahindra Flyover Western Express,,levels=9-12; religion=hindu,,,,https://www.openstreetmap.org/node/9443739333,,,"19.2094954, 72.8625372",,
BMC school,,,,,,,,,,,19.055637,72.9070603,https://www.openstreetmap.org/way/346412155,BMC school,,,,,,,https://www.openstreetmap.org/way/346412155,,,"19.055637, 72.9070603",,
BMC school,400043,,,,,,,,,,19.0582011,72.9118167,https://www.openstreetmap.org/way/626348904,BMC school,400043,,,,,,https://www.openstreetmap.org/way/626348904,,,"19.0582011, 72.9118167",,
BMC School,,,,,,,,,,,19.1733018,72.9343928,https://www.openstreetmap.org/way/667167843,BMC School,,,,,,,https://www.openstreetmap.org/way/667167843,,,"19.1733018, 72.9343928",,
BMC SCHOOL,,,,PUBLIC,public,,,,,,19.1471404,72.8302619,https://www.openstreetmap.org/way/1008059712,BMC SCHOOL,,,operator=PUBLIC; operator_type=public,,,,https://www.openstreetmap.org/way/1008059712,,,"19.1471404, 72.8302619",,
BMC School,,,,,,,,,,,19.1864566,72.8195425,https://www.openstreetmap.org/way/1349391234,BMC School,,,,,,,https://www.openstreetmap.org/way/1349391234,,,"19.1864566, 72.8195425",,
