name,address,phone,website,operator,operator_type,board,levels,gender,religion,language,lat,lon,osm_url,Name,Address,Fee Structure,Basic Infomation,Contact Details,FAQ,Admission Details,Other Key Infomation,School Infrastructure Details,Co-Curricular Activities,Travel Infomation,Review,Summary
Aandra association primary school,,,,,,,,,,,18.5192589,73.8453597,https://www.openstreetmap.org/node/10724927253,Aandra association primary school,,,,,,,https://www.openstreetmap.org/node/10724927253,,,"18.5192589, 73.8453597",,
Abdul Hamid Urdu School,"Sr. No. 12 Laxminagar Yerwada, Pune, 411006",,,,,,,,,,18.5488698,73.8826887,https://www.openstreetmap.org/way/480244855,Abdul Hamid Urdu School,"Sr. No. 12 Laxminagar Yerwada, Pune, 411006",,,,,,https://www.openstreetmap.org/way/480244855,,,"18.5488698, 73.8826887",,
Abhinav School,Abhinav School Road,,,,,,,,,,18.4818296,74.0298963,https://www.openstreetmap.org/node/10603771668,Abhinav School,Abhinav School Road,,,,,,https://www.openstreetmap.org/node/10603771668,,,"18.4818296, 74.0298963",,
Abhinava Vidyalaya,,,,,,,,,,,18.5036978,73.8255276,https://www.openstreetmap.org/node/4452524320,Abhinava Vidyalaya,,,,,,,https://www.openstreetmap.org/node/4452524320,,,"18.5036978, 73.8255276",,
Acharya Vinoba Bhave Vidyalay,,,,,,,,,,,18.5085599,73.8652872,https://www.openstreetmap.org/way/290034466,Acharya Vinoba Bhave Vidyalay,,,,,,,https://www.openstreetmap.org/way/290034466,,,"18.5085599, 73.8652872",,
Adarsh Vidya Mandir,"Laxmibugh Colony, Near Talegaon Nagarparishad, Talegaon Dabhade, 410506",,,,,,0-12,,hindu,,18.7259541,73.6819035,https://www.openstreetmap.org/node/11533271708,Adarsh Vidya Mandir,"Laxmibugh Colony, Near Talegaon Nagarparishad, Talegaon Dabhade, 410506",,levels=0-12; religion=hindu,,,,https://www.openstreetmap.org/node/11533271708,,,"18.7259541, 73.6819035",,
Adarsh Vidyalay,,,,,,,,,,,18.5103265,73.8548519,https://www.openstreetmap.org/way/380363652,Adarsh Vidyalay,,,,,,,https://www.openstreetmap.org/way/380363652,,,"18.5103265, 73.8548519",,
Agarkar Madhyamik Vidyalay,,,,,,,,,,,18.5208581,73.8652058,https://www.openstreetmap.org/way/380363653,Agarkar Madhyamik Vidyalay,,,,,,,https://www.openstreetmap.org/way/380363653,,,"18.5208581, 73.8652058",,
Agrasen High School,,,,,,,,,,,18.5557821,73.8815832,https://www.openstreetmap.org/node/10172584882,Agrasen High School,,,,,,,https://www.openstreetmap.org/node/10172584882,,,"18.5557821, 73.8815832",,
Ahilyadevi Girls' Highschool,,,,,,,,,,,18.5183133,73.8513983,https://www.openstreetmap.org/way/217773603,Ahilyadevi Girls' Highschool,,,,,,,https://www.openstreetmap.org/way/217773603,,,"18.5183133, 73.8513983",,
air force school viman nagar,,,,,,,,,,,18.5733551,73.9167695,https://www.openstreetmap.org/node/10692769362,air force school viman nagar,,,,,,,https://www.openstreetmap.org/node/10692769362,,,"18.5733551, 73.9167695",,
Akshara International school and junior,,,,,,,,,,,18.6089221,73.7447483,https://www.openstreetmap.org/relation/5350002,Akshara International school and junior,,,,,,,https://www.openstreetmap.org/relation/5350002,,,"18.6089221, 73.7447483",,
Aksharnandan,"Senapati Bapat Marg, Pune, 411016",,,N.G. Naralkar Foundation,private,,,,,,18.5334712,73.8279003,https://www.openstreetmap.org/way/331532101,Aksharnandan,"Senapati Bapat Marg, Pune, 411016",,operator=N.G. Naralkar Foundation; operator_type=private,,,,https://www.openstreetmap.org/way/331532101,,,"18.5334712, 73.8279003",,
All Saints' High School,"Old Pune–Mumbai Highway, Pune",,,,,,,,,,18.5585027,73.8459246,https://www.openstreetmap.org/way/1272877055,All Saints' High School,"Old Pune–Mumbai Highway, Pune",,,,,,https://www.openstreetmap.org/way/1272877055,,,"18.5585027, 73.8459246",,
Anglo Urdu Boys High School,,,,,,,,,,,18.5050361,73.874985,https://www.openstreetmap.org/node/3991591625,Anglo Urdu Boys High School,,,,,,,https://www.openstreetmap.org/node/3991591625,,,"18.5050361, 73.874985",,
Annabhau Sathe Shalagruh,,,,,,,,,,,18.5137271,73.8505508,https://www.openstreetmap.org/way/282054946,Annabhau Sathe Shalagruh,,,,,,,https://www.openstreetmap.org/way/282054946,,,"18.5137271, 73.8505508",,
